0.0.0.0         0.255.255.255   IANA 
1.0.0.0         1.0.0.255       澳大利亚 亚太互联网络信息中心
1.0.1.0         1.0.3.255       福建省 电信
1.0.4.0         1.0.7.255       澳大利亚 墨尔本Goldenit有限公司
1.0.8.0         1.0.15.255      广东省 电信
1.0.16.0        1.0.31.255      日本 东京I2Ts Inc
1.0.32.0        1.0.63.255      广东省 电信
1.0.64.0        1.0.127.255     日本 広島県中区大手町Energia通信公司
1.0.128.0       1.0.255.255     泰国  CZ88.NET
1.1.0.0         1.1.0.255       福建省 电信
1.1.1.0         1.1.1.0         澳大利亚 谷歌公司AS55698-APNIC-LABS印尼网络(Research prefix for APNIC Labs专用)
